,posts_des,Non depression,,,
1,"I shake when I'm extremely emotional. Anxiety, depression, pure sadness.
I was shaking at work today because I couldn't sleep. I had cried for hours. And I had processed some super hard information the previous night. Also havent been able to eat normally for a couple days.",,,,
1,Years ago I saw a documentary on happiness where a team of psychologists and other professionals traveled the world interviewing people of all walks of life studying happiness... ,,,,
1,Loneliness is a very sad thing. We are in this group together to hear each other and to help each other. I have a boyfriend who owns his own business and he's gone from 7 a.m. to 7 p.m. daily,,,,
1,"Hi guys, I just recently posted how I?m new to the group and I?m suicidal and hurt myself a lot. Quick update, I just talked to my school counsellor and i am not starting to really work on myself. ",,,,
1,"I'm suicidal, but I haven't really told anyone I know. I'm just having one of those tough nights.",,,,
1,"?People think being alone makes you lonely, but I don?t think that?s true. Being surrounded by the wrong people is the loneliest thing in the world.?
Loneliness killing me ",,,,
1,Hi I'm 12 and I suffer from depression and really bad anxiety I've been in a really dark place lately and I have been self harm free for 222 day but I think I might slip up and start cutting again and it's hurting my family I just want to end it all right now,,,,
1,feeling down had a bad day i'm always about ending my pain reaching out to ppl all day can't seem to get anyone to talk i know ppl got lives and is busy with work and stuff jw do anyone have a min,,,,
1,"I have a hard time understanding my emotions and feelings most days on top of my depression and anxiety I also have BPD . So there is always two parts of me ,  The extremely happy or extremely sad . I usually feel used and unwanted by the ones I love .",,,,
1,"Here's the key, don't look for answers in this cruel world. It's full of uncertainties, imperfections, brokenness, always wanting more, it will always want the best of us when the reality is you are  already the best, you already have all. Jesus is the perfect sacrifice. ",,,,
1,"Online friends are alright, but I really need a friend in real life loneliness is killing me idk what to do",,,,
1,hi friends im new to the group and i have ptsd and anxiety haven't slept in three days  so much on my mind dont have anyone to turn to that understand the loneliness of being on your own just looking for a friend,,,,
1,"Hi all. New to the group. Willing here for anyone who wants to talk I've come looking for some advise please. I like many others suffer from alot of instability with depression etc,but I'm at a point now where it's getting bad again my social anxiety is lead to panic attacks in public areas, can anyone possibly give me advise on how to handle this.",,,,
1,I?m tired of feeling like I?m not wanted or loved I don?t wanna be here anymore,,,,
1,"how can I start, yes it's all my fault, I don't want to suffer for suicide is the solution that I know to finish everything",,,,
1,"Tomorrow I'm turning down a job offer with a salary so big it's unbelievable, due to my social anxiety, avpd and depression episodes.",,,,
1,I have neurological seizures it?s my generalized anxiety disorder chronic. I shake like a leaf in a thunderstorm and tell no one. I just take medication that can?t stop it. It?s been 30 years. I?m so tired of it.,,,,
1,"I'm so tired of pain and being a burden but I have hope that in the end my story will help someone else, It will help someone else to carry on, I try to be as normal as possible so no one sees my pain, or I just hide out in my house.",,,,
1,"Let go of the feelings that are not from God like guilt unforgiveness, anger, hatred jealousy where here to love one another you can't find peace,love, hope and life outside it flows from within you eliminate those bad feelings so you make space room for love peace and light to flow. If we hold onto the past and present situation the world is cruel you will be defeated don't listen to your mind it will always tell you the opposite not enough and so on.",,,,
1,"Hi all I?m new. I have been suffering from depression as anxiety since my breakdown in 2013.I have had a lot of loss over the last 4 years and I?m trying to help my mum who is slow loosing to cancer.
Normally I scrape by but just recently I am finding it hard to cope with everything. I can?t let my family down but I feel so empty and alone. ",,,,
1,"Hi , I just joined today .. I have really bad depression and anxiety I?ve been Hospitalized a few times & Was taken advantage of against my will?? multiple times . I?m just looking for friends or just somebody to talk to me sometimes when I?m feeling low & suicidal",,,,
1,Imagine being a guy that's suicidal and no one cares your suicidal because your a guy and men's mental health doesn't matter,,,,
1,"Hi, I?m pretty new to this group, and I haven?t said hi yet. I suffer with sever anxiety, depression, and dissociative Identity disorder. Life downing sucks right now. I?ve wanted to die for a while but I?ve stopped myself because I don?t want to hurt my family. I still want to die but I can?t.",,,,
1,Depression loads and I?m always here if someone needs to talk here to make friends and help people just add me and message my dms are always open,,,,
1,"Wtf is wrong with me . I have a great career, good progression, excellent benefits and yet I hate it. I don't know why, every day here I can feel my soul being crushed and I'm really struggling to cope. I feel so ungrateful.",,,,
1,"I hurt myself today,To see if I still feel,I focus on the pain,The only thing that's real",,,,
1,"Most of the ppl around me, thought that im living in a perfect life. But in reallity, im tired, tired of living, tired of this life. I no longer happy and i no longer feel loved, married but i dont feel loved. I always feel sad sad sad day and night, hidding my true face with a smile,, with a laugh.",,,,
1,I don?t understand I have my best friend still but not my wife it is killing me I have my good days but more bad I?m hurting so bad and I feel like I?m loosing everything and I don?t know how to deal with it I?ve been to the doctor for help I really just want this pain to go away ,,,,
1,"I can't sleep ...I don't have friends anymore I don't know what's goin on I feel confused ,sad and sorry for myself i don't want these dark days, sleepless nights, grumpy mornings and this endless pain I miss those days when I used to be happy hanging out with friends I wish this shit ends soon
",,,,
1,"I can't share my problems to anyone because I'm afraid what if they don't care wht if.will they judge me?I'm tired of everything but I choose to keep fighting no matter what but I don't know how much more I can take this pain without supporting from my family.
",,,,
1,Hi everyone I'm new to this group. I'm trying to find solutions for my PTSD Suicidal thoughts and a fierce anxiety and depression Problems. I don't feel safe talking to a therapist because I don't want to be put in a nut house. So I'm I joined this group in hopes of being able to speak freely and not get locked up for it.,,,,
1," Really soon. I've been really contemplating on suicide..I lost everything.. I lost everything g j ever loved and cared for...i do t get to see my son and now the love of my life, my best friend and the one I Thi uh ht was gling to be my forever, is not longer that... She waked away Nd now I ha e nothing.  Nothing but absolutely horrible pain",,,,
1,I done the same thing I?ve had enough of putting a fake smile on when in reality I just wanna die because I?m dead in side already I no I?m young but that?s how I feel every single day I don?t wanna wake up when I do I wish I wasn?t awake and make it disappear for good,,,,
1,I?m just so tired of getting treated differently than my brother in my household it?s taking a beating on me it really is,,,,
1, I am 29 years old and have always suffered from some sort of anxiety and depression. I got prescribed prozac 5 years ago. Im recently starting to notice it is no longer helping me. I have very high happy moments followed by sudden crippling sadness. I will burst in to tears by memories that I have tried to forget. ,,,,
1,i?ve been so depressed.. more than usual. and i don?t know how much longer i can continue.,,,,
1,I just wanna say hi to those person who keep on fighting even though were full of pain inside .,,,,
1,"I told my mother what has been bothering me for the pass decade and that what caused my depression and anxiety in the first place, now I'm feeling more suicidal and I wish I could die and rest forever ,",,,,
1,My dad just committed suicide and idk what to do.... I'm so lost and heartbroken and confused ,,,,
1,"Hey guys I got my report on my depression and loneliness and anxiety
Doctor has said that I am in trouble stage  of depression like my health is getting effected due to this I may not be here for a while please forgive me",,,,
1,"hey thanks for the add. looking for some support. i struggle with depression, anxiety, bpd and shizoaffective disorder",,,,
1,Having an anxiety attack and I don?t know how to control it any tips to help control it or get rid of it.,,,,
1,"I have so much anger inside me it?s making me cry I feel so broken , but I don?t know why ? I?m getting intrusive thoughts and very short tempered and stressed !",,,,
1,"so i struggle with severe anxiety, it interferes with a lot of things but i wanted to introduce my bunny chester. Most people get a dog or cat to help with anxiety (i have 3 dogs) but this little guy by far has helped me so much. bunnies know when you are upset or anxious. my little man jumps up on my bed and lays right next to me. consider a bunny if you have anxiety or depression. ",,,,
1,I'm tired of living everyday just to wait for another tomorrow. Lifeless day by day.,,,,
1,"Hi!! My names Rebecca. I have terrible anxiety, panic, depression, and borderline personality. My dr wants me to take abilify, celexa, and clonopin. Ive taken colonopin before but not the other 2.... im kind of terrified to take them ???? i have medication anxiety and well, ya know. I just cannot bring myself to take them but I want to feel better. Im too afraid of possible side effects",,,,
1,Mornings are terrible and it takes me quite a while to shake it off. Evenings I am afraid of going to sleep due to nocturnal anxiety attacks the last few nights. This condition is taking everything out of me. ,,,,
1,"Is anyone else here also a highly sensitive person? I feel like my anxiety makes the symptoms even worse. The overthinking, easily crying, being a perfectionist, feeling irritable and on edge all the time about little things. ",,,,
1,"My anxiety and depression has been so bad this last week. I cant stop eating, even though my stomach hurts from the anxiety.. Kind of contradictory but i feel sick from the anxiety but want to eat to comfort myself from the depression. I feel a dark cloud over me constantly. I wake up in the morning with my heart racing.",,,,
1,Anyone else regret their career choice because of their anxiety ? I went into social work and I dread going into work almost everyday . My anxiety wasn?t bad in university but I wish I went with something less stressful,,,,
1,"I don't know if it's just me & my anxiety but I have this odd sensation under my left armpit. It doesn't hurt, it just feels weird like someone has been sticking there thumb under my armpit. I've had it for about two days now, not getting any worse but I know it's there.",,,,
1," The past few weeks I've had this really strong urge to rearrange my furniture in the bedroom and living room, possibly the kitchen too. I feel like I need to change it because I'm in control of it. Problem is I'm getting stressed about certain things not fitting. I also have 3 kids and have their stuff to fit around.",,,,
1,"Hey y?all, my boyfriend says he needs space for the day and i?m overthinking. I know he is just stressed and trying to catch up on stuff, but something in the back of my head is telling me he?s gonna leave me. ",,,,
1," Had an experience last night where I broke down so hard for no reason.  I did not sleep but just sat there looking at the wall with music blasting in my ears. I felt so weak , so stressed and etc . I got up today for work trying too get through the day acting like everything was normal ... but I couldn?t even focus.. I felt so sick , my body was weak where my hands felt numb and legs & my body was just achin , I felt like I was gonna die , woozy , nauseous , I had hot flashes , my stomach was and still is",,,,
1,So ive been getting alot of hot flushes a lately and when they come on i feel angry and irritated is this normal does anyone else get this ?? its almost every night now and then i start with a horrible head where it actually hurts to put my head on the pillow ,,,,
1,"I remember when i told my mom that i have anxiety and shortness of breathe, she just laugh at me I love my mom so much she just can't understand how i feel",,,,
1,"I hate suffering with anxiety, I?ve just had pains in my chest and I?m sat here panicking thinking something bad is going to happen to me. Every time I get the littlest amount of pain anywhere in my body I panic, it?s so stressful. ",,,,
1,Guys im not ok. And i need someone to talk to. I'm hating school and its making my depression worse.,,,,
1,I hate this life I wish I took it sooner I wish I wanna die I should?ve took her sooner ?? can?t be me without any judgement I guess there more to this world I hate i gave it my best I?m only waiting to die?,,,,
1,"Every time I wake up in the morning I feel sad, my heart is heavy, I think about the problem. I'm getting tired",,,,
1,". Im pregnant and my moods keep changing between anger rage and depression. Today was alot of yelling screaming cussing shampooing carpets rearranging my daughters room. I dont know how to calm myself down when i start to rage i dont like it and before i know it im yelling at everyone because their being too loud and i just want everyone and everything quiet and clean and calm and nobody knows how to do anything but make messes and ask me 100 times a day ""whats for dinner"" theres constant noise and i just need quiet",,,,
1,I had to deal with depression and anxiety since I was 6 and now I am 12 (I am turning 13 in January so don't worry) but I had to deal with that for 6-7 years I am always cutting myself but I stopped but I always regret stopping I want to do it again but then I started doing drugs yesterday I am stopping because I know there are people who loves me but I think again and say there is nobody that loves me ,,,,
1,I got many mental illnesses that make it hard to cope normally. I?ve been to a hospital before where I had to go to a program to help me cope with stuff. I have autism and that makes it hard for me to understand some things so I often get bullied for it. I just do not feel happy anymore.,,,,
1,I hate myself and I hate my life....im so tired of everyone and everything,,,,
1,Why can't I do this? Why can't I stick to what I say and mean. I'm so  depressed. I have lost so much weight it scares me. I don't eat .... Barely sleep anymore. I hate myself right now!,,,,
1,"I can never have fun, no happiness, no joy. I cant take this pain anymore and some think that I do this for fun. It's not fun its torture. I'm resorting to drinks and perks to numb my pain.",,,,
1,I feel dead inside.I hate puting on a fake smile.I hate saying I'm ok when I'm not.,,,,
1,I'm not ok.I miss my sunshine.Lost the only happiness I ever had I am so ready to go alone ,,,,
1,Haven't felt this lonely and depressed in years.  I'm my own worst critic and my mind convinces me daily that I'm a failure.,,,,
1,I been suffering from schizophrenia for 11ys now along with anxiety and depression and I can't find a way out. No matter what I say or do it seems like I'm hurting everyone. I can't trust myself or anyone I can't escape it.,,,,
1,"I have anger issues, which I am trying to keep at bay, as a result I have become more depressed and anxious. The things that I wasn't found pleasue in are still fun, but not as fun. I have been having a lot more moments where I hate by life, and just want to be left alone. ",,,,
1,"I know it's difficult to smile.. 
Painful tears. Suicidal breaths. The world crumbling and you desire to die. ",,,,
1,"Good evening i am new on This group,i have joined not much because in all This current year i have been highly depressive,there are a few Times that i feel ok,but later the depression finishes attacking me. The reason why i feel like so is because of people whose i thought they were friends of me and now they even't say hi to me or even sends message,it haven't be easy",,,,
1,"Introverts suffer harder.
We internalize every atom of energy so deeply, we feel like we lose at everything because no one understands us.",,,,
1,"My heart hurts more and more with everyday, your touch makes me confused, you broke me but I'm here trying, but everytime I see you I get these thoughts in my head and my heart doesn't feel the way it use too, I'm trying to be strong and make things work with you, but sometimes I just think it's better to just let you go, bc idk if I'll ever get over this again, you've cheated on me 3 times in our 6 years of marriage",,,,
1,"They never care they HATE me, put in all my effort, never noticed, when I'm down they are nowhere to be found.They just use me.
I'm all alone and my mentality is barely hanging on",,,,
1,"I constantly feel alone and like no one cares or they don't actually want to talk to me. They're just being polite. Just saying, if you don't want me around, just let me know instead of playing me around",,,,
1,Man this shit sucks just want somebody to come in my life and not leave like fr shit be hurting the soul,,,,
1,"I'm just curious...does anyone else have other mental health problems besides just one? ( no judgment please) I have major depressive disorder, bpd (borderline personality disorder) anxiety and PTSD.",,,,
1,"Now I just want some peace and focus.last time it took me a year to go through another unwanted break up now I don't want to waste my life crying and hurting. I'm just sick of the feeling, I'm losing me",,,,
1,It?s hard for me to have hope for my life. I?m trying to let the saying ?it is what it is? be on replay in my head. But my head right now keeps on being filled with so much negativity i have no clue what to do. I know what I won?t ever stop trying to keep on going but sometimes when I feel like this all I wanna do is imagine the comfort of finally giving up.,,,,
1,Sometimes I feel like a stranger in my house. I got many mental illnesses that make it hard to cope normally. I?ve been to a hospital before where I had to go to a program to help me cope with stuff. I have autism and that makes it hard for me to understand some things so I often get bullied for it.,,,,
1,Stranded in west Virginia no money sleeping on the streets cant get a bus ticket home what's the point in living anymore I need someone to talk to,,,,
1,I finally tried to get into a relationship with a girl I?ve liked since I was 12 (I?m 15) I have commitment issues but I was ignoring them because I wanted her. She basically ghosts me and then gets into another relationship. Really shows me how fucking useless I am. I hate my damn life,,,,
1,So my ex cheated on me and he keeps lying and saying that there was reasons of why he did it and I tried to make him a better person but its not working do I hold on or let go either way its gonna hurt like hell,,,,
1,"Depression is deep a mind is a powerful thing that people who struggle with multiple things like anxiety, social anxiety, depression,PTSD,etc like I do it is vary hard an I know the pain if anyone just needs to talk I?m here I struggle I know an I wanna help anyone who feels the way I do",,,,
1,I feel so useless....i can't be free from myself and my life... it's just so tiring.... I'm so tired,,,,
1,"I don't have anyone to vent out to. I'm really sad. Please help me. And so, I fell in love. And for the nth time, there was pain involved. If I'm not the one causing the hurt, It was I who was in pain.
I love him. I still do. Worse part was, He might not even be sure about me. But I am irrevocably and undeniably am. ",,,,
1,I wish a store robber could come in a store shoot around and a bullet goes through my head just want to see myself dead,,,,
1,"The tears, rushing thoughts, rapid heart beat, the abandonment, the agony is really daunting. Walking past others having fun while miserable and alone.
I totally understand this deep dark emotion.",,,,
1,"Only tomorrow can tell what kind of person I?ll be.I am afraid of what the Darkness brings.My inner demons do nothing but sing.My loneliness has become my chapel
Because if I leave now, i know I?ll lose this battle.My mind has trapt me, it?s a prison.I write these poems too help me heal.My mind has become so evil an full of hate ",,,,
1,I am so useless in the fact that They didn't see my value ?? I wish i will disappear here in this world.,,,,
1,Just wondering am I the only one that feels like this when it rains outside I hide my tears behind the rain my heart feels empty and my eyes are cold as ?? I was once happy but as I grew up this world taught me nothing but pain,,,,
1,"I?m so lost I don?t know what to do anymore I never had the
Love of my mother and I feel lonely I?m depressed n I had harmful thoughts I?m afraid I won?t be able
To keep so much pain inside me and one day just decide to make everything go away n just feel numb",,,,
1,I am going back into the deep hole I tried so hard to get out of and I have no idea what to do.,,,,
1,Just a post to let all you ladies know no matter how high ur anxiety is today you will get through the day and wake up tomorrow moving forward. We are strong enough to overcome anything we put our minds too. ,,,,
1,"i am so worried he is going to leave me.im scared, anxious, i keep overthinking,i feel like he doesnt love meim doing my best, to stay happy, i take my pills, i put on a smile, and i try making him happy, but, i dont think he is, am i overthinking? what do i do",,,,
1,So today I found out that my mom has breast cancer ?? I don?t know how to feel. I?m really worried about her.,,,,
1,"I been so depressed this year. I broke up with my boyfriend of 6 years, I haven't been able to work or make money in 5 months because of COVID, and the last month, I forgot to take my meds. I had a breakdown today, and said a lot of things to my mom and dad that I shouldn't of. As if I didn't feel like a big enough piece of shit, as I went to apologize for my terrible, shameful, behavior, to my father",,,,
1,"Just took my first Lithium...scared but i have no other options. Praying i dont feel sick i?ve been sick the last 5 weeks on and off and up and down medications. Says to take with a meal. Problem
Is i have zero appetite and haven?t had a meal in over a month",,,,
1,"Anyone else have nails like mine? My whole life.. Always had ugly hands and fingers depression and anxiety sucks.
",,,,
1,I told him I didn't want to be with him anymore because of his anger and him putting me down all the time. This morning we go into an argument so bad I thought about checking myself into the hospital and giving my dad temporary gaurdianship of my kids. My friend talked me out of it saying that no man was worth feeling this way. Her and I talked and I calmed down. I told the landlord about the mental and verbal abuse and him punching a hole in the bathroom door.,,,,
1,"I'm so depressed because I lost this person out of my life. My mom and my best friend. She's still alive, but just ain't in my life anymore because of my aunt. Please someone help me to get her back in my life. She's my Mama, and the only thing in my life that kept me happy. I'm so heartbroken right now, that I can't even eat, sleep, and I can't even go to work because of this depression. I just miss her very much",,,,
,,,,,
0,"Hi,im 11 years old I get bullied for my size and height and my thighs pls guess my height and age..... ",,,,
0,"Could people stop with the "" Am I pretty? Am I handsome? "" Or even for god sakes it's really annoying if you want something to cheer you up say something else other then AM I PRETTY ! ??????   ",,,,
0,Have you ever been inlove?? to someone who's inlove with someone else ??,,,,
0,Friends anyone? ,,,,
0,I use sleeping pills to get some sleep.........are there effects of using them everyday?,,,,
0,Who is looking for a bf if u are hit me up and add me here ,,,,
0,i miss the old me?? the strong one the tough one.,,,,
0,We need each other to live in this world,,,,
0,I need new friends,,,,
0,I want Like Minded people around,,,,
0,"There are those with eyes full of tears but still say ""I'm fine ",,,,
0,I live in the kind of society  where you have to be thin or beautiful  to  be respected ,,,,
0,Want to b at a place where We can Open up With No judgments,,,,
0,In need of some positive vibes  ,,,,
0,Hey guys i made a new snapchat I would love new people to speak to add everyone back ,,,,
0,It's nice to have someone who can make u smile even they're not around ,,,,
0,Are you in love with someone ,,,,
0,Sending good vibes this weekend love you guys remember we got this,,,,
0,Went on a date with my crush it was fun ,,,,
0,It's late night here 2am...I have an important presentation early tomorrow...just I want to study ,,,,
0,Why do people laugh at everything? I don't mean they crack up laughing but more like giggle at everything?   ,,,,
0,Ever want it all to just end? That's where I am today ,,,,
0,May you soon meet the reason why God did not allow you to settle.,,,,
0,"Hey guys, i just wanted to let you all know that i wont be doing the live tonight. I am going through something personal at the moment. however i will be doing a live next tuesday at 9pm. thanks for understanding.  ",,,,
0,"Today is my 40th birthday, feeling a little bummed out. Please show me some love",,,,
0,How often do you shower be honest ?? I just couldn't get out of the bed today ,,,,
0,I've been clean for nearly a month,,,,
0,I can laugh and joke around during the day,,,,
0,"Oh it sure is love, just took my kid to the park at almost 8pm to avoid as many as possible   ",,,,
0,"Put your keys or phone on to of them, alarm in your phone or a note on the door.",,,,
0,Stupid funny but he makes me laugh and I emulate his character sometimes. I need to laugh and every time I look at this on my wall I will. One of my all time favorites. ,,,,
0,Was happy fine and living life. Then woke up one morning with a high heart rate about 2 months ago. Heart tests were fine.    ,,,,
0,My dreams have become almost as vivid and clear as real life since I?ve been on my meds. ,,,,
0,"I?m going places I?ve never been, seeing people?s faces in detail, hearing their voices clearly, hugging them and feeling the hug so to speak.   ",,,,
0,"Looking for some words of strength to get through the next 5 hours. Currently at an adventure fairground type place with the kids, trying to not freak out with the rides, which so far I've managed a slow moving train ride. The noise, the people, my heart is pounding.    ",,,,
0,"Hello, im feeling really good rn, might as well talk about it bc it's rare, I've actually had the motivation to do stuff the last two days, yesterday I cleaned my room(it took 3.5 hours to complete), today I took the carpet out of my closet(it took 3 hours to complete), having this much motivation is new, it feels like things are finally getting better and my life is starting to come together.  ",,,,
0,Can someone tell why I don't want to forget about someone who left me ,,,,
0,Today my grandad would have been 73. It happpy every day that I didn't get to meet him. And that he died before I could make him proud. I love you grandad Trevor and I hope that you're looking down on me from heaven and feeling proud   ,,,,
0,"Thinking bout giving up nd just might tonight tired or trying to reach out but nobody understands me, leaves me on read, messed up really when I need someone anyone the most nobody is there but when I'm needed I'm always there on time ??why.......did god really creat me like this   ",,,,
0,"Here are some ideas about what we can do to move through our experience of feeling ?flawed,? to a place of acceptance, peace and then you would potentially love your flaws.   ",,,,
0,I have weird dreams every night because I am thinking over.,,,,
0,"If you?re wondering how my day is going, I just went to Chick-fil-A and tried to order breakfast and was told they don?t serve breakfast at 2pm. I can?t EVEN   ",,,,
0,"I take a night sleeping medication that knocks me out , the problem is I can?t get up in the morning. I?m also afraid it?s making me gain weight. I?m wondering if it?s slowing down my metabolism in the mornings when I need it the most    ",,,,
0,"I see a lot of you saying about how you changed your diet, what did you change? What do you eat? I'm curious to see if diet changes would help me but don't even know where to start!!! Any help or advice would be greatly appreciated ",,,,
0,Has anyone been in or has been in a interracial relationship???I needed someone to talk to regarding that.   ,,,,
0,I wish I wasn?t a boring person so I would have friends to do adventurous things with. ,,,,
0,"So I am on an SNRI not many have heard of. It's called Fetzima, recently it has started to cause random movements (shake) of my head and neck. Almost feels like a little seizure but its not.   ",,,,
0,"I need some one to talk to""",,,,
0,I just want friends who understands because my current family and friends don't understand me and I just keep everything in .    ,,,,
0,I wrote this tonight. I had a good day but around 4-5pm it started creeping in again. That lump in my chest was taking over.    ,,,,
0,"
I'm new here,I hope I have found myself a soothing home, where I can express my feelings.""",,,,
0,"U don't have to be rich to be a good person, u don't have to be beautiful or handsome to be a good person, u don't have to wear expensive label or drive luxury cars to be a good person, but ur heart can tell us who u you are ",,,,
0,"Guys I lost my phones last night because I was drunk thinking some of my problems will go away,   ",,,,
0,I'm pregnant and I don't want to abort my baby so I was wondering if there is a couple struggling to have kids can have mine as I don't believe in abortion.   ,,,,
0,"I hope that when God decides to answer my prayers, I'm still alive inside",,,,
0,People with mixed music taste have the right personality for anything.,,,,
0,Why can't people accept me from who I am it's always me getting judged by my looks I'm sorry I'm not good looking or amazing body but I do know that I have amazing personality I just wish people see wat I see but they don't never judge someone but it's book cover  ,,,,
0,For people that need so lift up I lovr you and your absolutely amazing your gorgeous and I?m proud of you?? if you need to talk I?m always here babies   ,,,,
0,I?ve had enough of this world people are selfish and don?t Care what you do for them to  help them then won?t turn around and help you whatsoever I?ve had enough and I want no part of this world anymore. ,,,,
0,If She wanted me i would be a completely diffrent person.What is other guys have and i don't? I wish human race.,,,,
0,Pandemic has not affected my shitty daily rouitine at all.I don't care the quarantine is over or not.In the beginning of the pandemic it was even fun.When it's over i'm not gonna be happy anyway.  ,,,,
0,"My good friends. I hope everyone is doing well and having an awesome day today. We've all been through struggles in our lives, so I just want to offer an open line if anybody wants to talk! Be safe, you're all loved!   ",,,,
0,Hey guys I hope you have all day an absolutely amazing day Remember your gorgeous and stringer then you believe today is a new day stay strong I?m proud of you and remember I lovr you and I?m always here    ,,,,
0,I believe that pets help are always there for us no matter what they are loyal and family So today let's do it for our pets post a selfie of your pets ,,,,
0,Does anyone else keep their fan on at night even if it?s freezing cold because they can?t stand the sound of total silence,,,,
0,"I don?t eat very much these days or barely anything at all?  I can?t get the energy or interest to cook most days, even anything easy.  I used to love finding recipes to cook, at least on the weekends.  Now I can barely get the energy or interest to even make a sandwich.    
",,,,
0,"one who can smile even in trouble, will be happy in life",,,,
0,"Start your day with one positive thought. It can be the thought of someone's love for you, a great memory, a beautiful hope.",,,,
0,Sometimes the bad things that happen in our lives put us directly on the path to the best things that will ever happen to us,,,,
0,"Being thankful may not always be easy, but it is always good! Whether you're in a good or difficult time in life right now",,,,
0,"God can make the very worst things that ever happened in your life
Work for your very best.",,,,
0,The enemy always fights the hardest when he knows GOD has something great in store for you.,,,,
0," I'm learning to change this & treat myself with the same kindness, love & forgiveness that I would a loved one. ",,,,
0,"Thankyou x I'm working on self love daily, then I can truly love others better too ",,,,
0,"Positive thinking is a mental attitude that admits into the my mind thoughts, words and images that are conductive to growth, expansion and success.",,,,
0,Heart and soul purified with the love of Allah. Have knowledge to her/his religion.,,,,
0,"Dear person reading this I hope your day has been going well, if not, I hope it gets better. You are an amazing person who will inspire others to do great things",,,,
0,"Cheer up, feel happy, make your day brighter and spread some good vibes with this motivational",,,,
0,Thank you for all the people out there that makes a change in a persons life. Even it its a split second for you its a life time memory for them,,,,
0,"To make a difference in someone?s life, you don?t have to be brilliant, rich, beautiful or perfect. You just have to care.",,,,
0,"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.",,,,
0,The art of being happy lies in the power of extracting hobby from common things.,,,,
0,Sometimes the smallest step in the right direction ends up being the biggest step of your life.,,,,
0,Just keep doing your thing with as much integrity and love as possible.,,,,
0,"I was always looking outside myself for strength and confidence, but it comes from within. It is there all the time.",,,,
0,"Sometimes you need to step outside, get some air, and remind yourself of who you are and where you want to be.",,,,
0,"A positive attitude may not solve all your problems, but it will annoy enough people to make it worth the effort.",,,,
0,"I will not follow where the path may lead, I will go where there is no path, and I will leave a trail.",,,,
0,Stand tall and proud. Go out on a limb. Remember your roots. Drink plenty of water. Be content with your natural beauty. Enjoy the view.,,,,
0,"Even when you have doubts, take that step. Take chances. Mistakes are never a failure, they can be turned into wisdom.",,,,
0,"Maybe today is not One of your favourites, but Never forget that every Day you wake up is an Amazing gift and it?s up to 
You to make it count.
",,,,
0,Always be on the lookout for ways to turn a problem into an opportunity for success.,,,,
0,Life will give you whatever experience is the most helpful for the evolution of your consciousness.,,,,
0,"Don't just be who you are and what you are. Move, evolve, change, grow and become better each day.",,,,
0,"Any great Idea is only as good as the action taken to execute it, so step into action",,,,
0,"Remember that children, marriages, and flower gardens reflect the kind of care they get.",,,,
0,"If we counted our blessings instead of our money,we would all be rich.
",,,,
0,"The most precious gift we can offer anyone is our attention.When mindfulness embraces those we love,they will bloom like flowers.",,,,
0,"Stay positive always, even if you run out of reasons to be optimistic.",,,,
0,"Life is like a ocean, sometimes calm and sometimes stormy but it will always remain beautiful.",,,,
0,"No matter how challenging or demanding your challenges seem to you, you shouldn't stop confronting them. Yes! You have to soldier on, persevere through all of them until you surmount them outright.",,,,
0,"Be the reason someone feels welcome, seen, heard, valued, loved, and supported.",,,,
